precio,baños,habitabiones,metros_construidos,estrato
4363000000,3.0,3.0,324.0,
1600000000,5.0,3.0,324.0,5.0
1400000000,4.0,4.0,1000.0,6.0
2000000000,3.0,4.0,285.0,5.0
380000000,3.0,4.0,137.0,4.0
1300000000,4.0,4.0,364.0,4.0
3680000000,3.0,3.0,291.0,6.0
8000000000,5.0,5.0,450.0,6.0
3500000000,3.0,7.0,400.0,
4700000000,3.0,3.0,240.0,6.0
3500000000,2.0,4.0,120.0,4.0
550000000,2.0,3.0,175.0,
700000000,5.0,5.0,250.0,5.0
540000000,2.0,2.0,,
370000000,2.0,6.0,,
800000000,5.0,4.0,472.0,3.0
900000000,6.0,5.0,500.0,5.0
850000000,7.0,6.0,315.0,5.0
3400000000,6.0,4.0,385.0,6.0
3600000000,2.0,10.0,588.0,5.0
1350000000,3.0,3.0,450.0,6.0
410000000,2.0,3.0,120.0,
1600000000,4.0,3.0,212.0,5.0
1550000000,3.0,5.0,422.0,
680000000,4.0,8.0,240.0,3.0
12000000000,7.0,6.0,840.0,
550000000,3.0,3.0,140.0,5.0
2400000000,4.0,4.0,280.0,6.0
1000000000,2.0,4.0,300.0,5.0
380000000,3.0,5.0,250.0,3.0
1600000000,7.0,6.0,700.0,6.0
1300000000,3.0,2.0,121.0,6.0
1100000000,4.0,3.0,270.0,3.0
330000000,2.0,3.0,150.0,4.0
12000000000,5.0,3.0,450.0,6.0
2800000000,8.0,8.0,290.0,5.0
900000000,3.0,4.0,378.0,4.0
2000000000,,9.0,341.0,5.0
12000000000,4.0,,1200.0,6.0
230000000,2.0,6.0,72.0,
150000000,,3.0,67.0,
1600000000,3.0,3.0,240.0,4.0
3600000000,7.0,5.0,600.0,
420000000,2.0,4.0,126.0,4.0
6000000000,4.0,4.0,376.0,5.0
380000000,2.0,4.0,196.0,3.0
9000000000,12.0,11.0,820.0,
300000000,3.0,4.0,240.0,4.0
3800000000,2.0,,540.0,6.0
500000000,4.0,3.0,378.0,3.0
950000000,3.0,6.0,306.0,3.0
350000000,,2.0,100.0,4.0
6000000000,18.0,18.0,620.0,
2200000000,3.0,,300.0,5.0
1150000000,3.0,4.0,900.0,4.0
12500000000,8.0,4.0,800.0,5.0
570000000,4.0,3.0,140.0,5.0
440000000,,2.0,70.0,2.0
480000000,3.0,4.0,115.0,
1100000000,3.0,4.0,220.0,5.0
2800000000,7.0,7.0,855.0,
600000000,2.0,3.0,480.0,3.0
700000000,3.0,4.0,300.0,5.0
724000000,,,78.0,
250000000,,3.0,146.0,3.0
300000000,,3.0,100.0,3.0
1700000000,3.0,3.0,340.0,6.0
3900000000,,16.0,293.0,4.0
330000000,3.0,4.0,120.0,4.0
699000000,4.0,6.0,434.0,4.0
1600000000,4.0,3.0,200.0,6.0
300000000,4.0,6.0,160.0,3.0
445000000,3.0,5.0,200.0,3.0
550000000,2.0,,,4.0
720000000,5.0,4.0,176.0,5.0
3500000000,5.0,5.0,450.0,6.0
730000000,4.0,4.0,205.0,4.0
350000000,2.0,3.0,160.0,3.0
522000000,3.0,3.0,90.0,5.0
200000000,2.0,4.0,190.0,2.0
4500000000,4.0,4.0,275.0,6.0
2300000000,4.0,4.0,350.0,6.0
1500000000,2.0,4.0,400.0,
7850000000,4.0,4.0,406.0,6.0
430000000,2.0,5.0,204.0,3.0
2400000000,4.0,4.0,304.0,6.0
695000000,2.0,3.0,111.0,5.0
1850000000,4.0,5.0,720.0,
850000000,2.0,3.0,204.0,4.0
350000000,2.0,3.0,189.0,3.0
1400000000,4.0,3.0,140.0,6.0
1500000000,3.0,4.0,220.0,
2700000000,4.0,3.0,270.0,6.0
1100000000,3.0,3.0,280.0,4.0
320000000,2.0,6.0,90.0,3.0
997000000,3.0,3.0,161.0,5.0
500000000,3.0,3.0,320.0,3.0
1100000000,9.0,10.0,800.0,3.0
500000000,6.0,12.0,350.0,
350000000,3.0,3.0,125.0,4.0
800000000,4.0,4.0,470.0,4.0
305000000,4.0,6.0,160.0,3.0
9000000000,6.0,6.0,550.0,6.0
700000000,3.0,4.0,147.0,5.0
1100000000,3.0,2.0,,
3750000000,3.0,4.0,,6.0
8200000000,4.0,4.0,490.0,6.0
550000000,3.0,4.0,140.0,4.0
350000000,2.0,4.0,153.0,3.0
1100000000,5.0,7.0,172.0,5.0
530000000,3.0,3.0,131.0,5.0
1500000000,3.0,7.0,406.0,4.0
450000000,2.0,3.0,144.0,3.0
115000000,3.0,6.0,136.0,
7850000000,4.0,4.0,406.0,6.0
1500000000,4.0,4.0,468.0,
170000000,2.0,3.0,110.0,2.0
1700000000,11.0,16.0,512.0,
1800000000,,14.0,540.0,5.0
370000000,2.0,4.0,103.0,4.0
12500000000,9.0,7.0,558.0,5.0
450000000,3.0,7.0,236.0,
4200000000,3.0,7.0,548.0,5.0
385000000,3.0,3.0,135.0,4.0
3984052870,4.0,3.0,260.0,
450000000,3.0,5.0,300.0,3.0
270000000,4.0,7.0,,
400000000,4.0,4.0,,
280000000,3.0,6.0,98.0,2.0
3200000000,8.0,6.0,836.0,
397000000,5.0,4.0,170.0,4.0
360000000,4.0,4.0,720.0,4.0
445000000,4.0,4.0,170.0,3.0
7850000000,4.0,4.0,406.0,
410000000,2.0,3.0,90.0,
570000000,4.0,3.0,140.0,5.0
4160000000,3.0,6.0,452.0,5.0
330000000,,3.0,160.0,
650000000,4.0,4.0,93.0,
15139400906,6.0,5.0,2500.0,5.0
1200000000,4.0,3.0,209.0,
8234420000,6.0,6.0,870.0,4.0
1200000000,4.0,3.0,320.0,
6800000000,8.0,6.0,489.0,4.0
3400000000,6.0,4.0,385.0,6.0
10000000000,6.0,12.0,888.0,5.0
2700000000,9.0,8.0,675.0,
2500000000,2.0,2.0,140.0,6.0
380000000,,,145.0,
1300000000,3.0,5.0,,5.0
1800000000,5.0,8.0,350.0,
480000000,,3.0,90.0,4.0
23904317220,,12.0,1205.0,5.0
7320000000,3.0,3.0,515.0,
330000000,3.0,3.0,212.0,3.0
2500000000,3.0,4.0,671.0,
3900000000,8.0,8.0,320.0,
370000000,3.0,3.0,,4.0
2400000000,3.0,3.0,283.0,
380000000,5.0,8.0,,3.0
400000000,,3.0,250.0,2.0
450000000,4.0,5.0,230.0,4.0
931171500,3.0,2.0,114.0,6.0
3700000000,8.0,5.0,640.0,6.0
2000000000,4.0,,,5.0
6000000000,5.0,5.0,320.0,5.0
790000000,3.0,4.0,184.0,5.0
1100000000,6.0,6.0,500.0,3.0
3500000000,8.0,7.0,330.0,5.0
650000000,3.0,3.0,136.0,6.0
250000000,2.0,3.0,77.0,3.0
400000000,,,,
650000000,5.0,5.0,228.0,5.0
11000000000,4.0,4.0,730.0,5.0
4200000000,5.0,4.0,472.0,6.0
430000000,3.0,3.0,140.0,4.0
1650000000,4.0,3.0,267.0,
5600000000,3.0,6.0,1100.0,5.0
4531000000,5.0,8.0,299.0,6.0
560000000,4.0,4.0,186.0,4.0
1300000000,,3.0,72.0,5.0
240000000,3.0,4.0,84.0,3.0
1150000000,3.0,4.0,211.0,5.0
520000000,3.0,3.0,141.0,
